X,Y,MNRF_District,Stocking_Year,Species,Official_Waterbody_Name,Official_French_Waterbody_Name,Unoffcial_Waterbody_Name,Waterbody_Location_Identifier,Geographic_Township,Developmental_Stage,Number_of_Fish_Stocked,Latitude,Longitude,ObjectId
-8858805.07732871,5394529.90283298,Aurora District,2019,Rainbow Trout,Credit River,,,17-6144-48227,,Yearlings,218,43.54,-79.58,1
-8858805.07732871,5394529.90283298,Aurora District,2019,Rainbow Trout,Credit River,,,17-6144-48227,,Yearlings,218,43.54,-79.58,2
-8889974.53475083,5409899.32538491,Aurora District,2019,Rainbow Trout,Credit River West Branch,bras Ouest de la rivière Credit,,17-5914-48334,ESQUESING,Adult,125,43.64,-79.86,3
-8910012.04309362,5406823.39694857,Aurora District,2019,Rainbow Trout,Fairy Lake,lac Fairy,,17-5766-48303,ESQUESING,Adult,123,43.62,-80.04,4
-8877729.39076357,5400674.60807223,Aurora District,2019,Rainbow Trout,Lake Aquitaine,lac Aquitaine,,17-6005-48267,TORONTO,Adult,77,43.58,-79.75,5
-8843220.34861765,5454615.90464376,Aurora District,2019,Walleye,Bond Lake,lac Bond,,17-6245-48654,WHITCHURCH,Adult,65,43.93,-79.44,6
-8843220.34861765,5454615.90464376,Aurora District,2019,Walleye,Bond Lake,lac Bond,,17-6245-48654,WHITCHURCH,Adult,122,43.93,-79.44,7
-8843220.34861765,5454615.90464376,Aurora District,2019,Walleye,Bond Lake,lac Bond,,17-6245-48654,WHITCHURCH,Fingerlings,70,43.93,-79.44,8
-8882182.1703953,5425294.3498267,Aurora District,2019,Walleye,Heart Lake,lac Heart,,17-5970-48435,CHINGUACOUSY,Fingerlings,70,43.74,-79.79,9
-8882182.1703953,5425294.3498267,Aurora District,2019,Walleye,Heart Lake,lac Heart,,17-5970-48435,CHINGUACOUSY,Adult,121,43.74,-79.79,10
-8882182.1703953,5425294.3498267,Aurora District,2019,Walleye,Heart Lake,lac Heart,,17-5970-48435,CHINGUACOUSY,Adult,65,43.74,-79.79,11
-8875503.0009477,5425294.3498267,Aurora District,2020,Brook Trout,,,Professor's Lake (Unofficial Name),17-6019-48445,CHINGUACOUSY,Yearlings,1310,43.74,-79.73,12
-8875503.0009477,5425294.3498267,Aurora District,2020,Brook Trout,,,Professor's Lake (Unofficial Name),17-6019-48445,CHINGUACOUSY,Yearlings,1308,43.74,-79.73,13
-8897766.89910636,5436086.17097514,Aurora District,2020,Brook Trout,,,Ken Whillans Pond (Unofficial Name),17-5855-48513,CALEDON,Yearlings,1021,43.81,-79.93,14
-8843220.34861765,5454615.90464376,Aurora District,2020,Brook Trout,Bond Lake,lac Bond,,17-6245-48654,WHITCHURCH,Yearlings,1141,43.93,-79.44,15
-8843220.34861765,5454615.90464376,Aurora District,2020,Brook Trout,Bond Lake,lac Bond,,17-6245-48654,WHITCHURCH,Yearlings,1300,43.93,-79.44,16
-8858805.07732871,5394529.90283298,Aurora District,2020,Rainbow Trout,Credit River,,,17-6144-48227,,Adult,226,43.54,-79.58,17
-8846559.93334145,5408361.23322365,Aurora District,2020,Rainbow Trout,Humber River,,,17-6237-48321,,Adult,205,43.63,-79.47,18
-8843220.34861765,5454615.90464376,Aurora District,2020,Walleye,Bond Lake,lac Bond,,17-6245-48654,WHITCHURCH,Fingerlings,992,43.93,-79.44,19
-8882182.1703953,5425294.3498267,Aurora District,2018,Rainbow Trout,Heart Lake,lac Heart,,17-5970-48435,CHINGUACOUSY,Yearlings,500,43.74,-79.79,20
-8882182.1703953,5425294.3498267,Aurora District,2018,Rainbow Trout,Heart Lake,lac Heart,,17-5970-48435,CHINGUACOUSY,Yearlings,500,43.74,-79.79,21
-8877729.39076357,5400674.60807223,Aurora District,2018,Rainbow Trout,Lake Aquitaine,lac Aquitaine,,17-6005-48267,TORONTO,Yearlings,500,43.58,-79.75,22
-8878842.5856715,5420673.14642849,Aurora District,2019,Brook Trout,,,Esker Lake (Unofficial Name),17-6005-48414,CHINGUACOUSY,Yearlings,150,43.71,-79.76,23
-8883295.36530323,5422213.29043949,Aurora District,2019,Brook Trout,,,Loafers Lake (Unofficial Name),17-5954-48418,CHINGUACOUSY,Yearlings,100,43.72,-79.8,24
-8843220.34861765,5454615.90464376,Aurora District,2019,Brook Trout,Bond Lake,lac Bond,,17-6245-48654,WHITCHURCH,Yearlings,1000,43.93,-79.44,25
-8858805.07732871,5394529.90283298,Aurora District,2019,Brook Trout,Credit River,,,17-6144-48227,,Yearlings,500,43.54,-79.58,26
-8858805.07732871,5394529.90283298,Aurora District,2019,Brook Trout,Credit River,,,17-6144-48227,,Yearlings,250,43.54,-79.58,27
-8858805.07732871,5394529.90283298,Aurora District,2019,Brook Trout,Credit River,,,17-6144-48227,,Yearlings,950,43.54,-79.58,28
-8858805.07732871,5394529.90283298,Aurora District,2019,Brook Trout,Credit River,,,17-6144-48227,,Yearlings,250,43.54,-79.58,29
-8858805.07732871,5394529.90283298,Aurora District,2019,Brook Trout,Credit River,,,17-6144-48227,,Yearlings,250,43.54,-79.58,30
-8846559.93334145,5408361.23322365,Aurora District,2019,Brook Trout,Humber River,,,17-6237-48321,,Yearlings,417,43.63,-79.47,31
